B,G,R,Target
223,183,95,Biru
224,183,91,Biru
224,183,91,Biru
223,182,90,Biru
222,181,89,Biru
221,180,87,Biru
221,180,87,Biru
221,180,87,Biru
220,179,86,Biru
226,186,98,Biru
225,185,97,Biru
227,186,94,Biru
226,185,93,Biru
225,184,92,Biru
223,182,90,Biru
220,179,86,Biru
220,179,86,Biru
219,178,85,Biru
219,178,85,Biru
228,188,100,Biru
226,186,98,Biru
225,184,92,Biru
223,182,90,Biru
221,180,88,Biru
221,180,88,Biru
220,180,84,Biru
220,180,84,Biru
220,180,84,Biru
219,179,83,Biru
227,187,99,Biru
226,186,98,Biru
227,186,94,Biru
225,184,92,Biru
224,183,91,Biru
184,226,0,Hijau
183,225,0,Hijau
174,223,0,Hijau
174,223,0,Hijau
173,222,0,Hijau
173,222,0,Hijau
195,234,5,Hijau
191,230,1,Hijau
185,227,0,Hijau
184,226,0,Hijau
183,226,0,Hijau
183,226,0,Hijau
174,224,0,Hijau
173,223,0,Hijau
172,222,0,Hijau
171,221,0,Hijau
192,234,0,Hijau
190,232,0,Hijau
185,230,0,Hijau
183,228,0,Hijau
182,227,0,Hijau
181,226,0,Hijau
170,222,0,Hijau
170,222,0,Hijau
167,222,0,Hijau
167,222,0,Hijau
193,234,0,Hijau
190,231,0,Hijau
185,229,0,Hijau
182,226,0,Hijau
144,216,180,Kuning
142,214,178,Kuning
139,213,177,Kuning
138,212,176,Kuning
135,211,177,Kuning
134,210,176,Kuning
125,207,172,Kuning
125,207,172,Kuning
122,206,171,Kuning
121,205,170,Kuning
142,214,178,Kuning
140,212,176,Kuning
139,211,175,Kuning
138,210,174,Kuning
134,208,174,Kuning
134,208,174,Kuning
121,208,172,Kuning
121,208,172,Kuning
119,207,171,Kuning
118,206,170,Kuning
143,216,178,Kuning
142,215,177,Kuning
139,214,176,Kuning
137,212,174,Kuning
135,212,175,Kuning
134,211,174,Kuning
120,208,172,Kuning
120,208,172,Kuning
117,207,171,Kuning
117,207,171,Kuning
141,216,178,Kuning
140,215,177,Kuning
137,214,176,Kuning
135,212,174,Kuning
134,212,175,Kuning
143,152,239,Merah
138,146,239,Merah
138,146,239,Merah
138,146,239,Merah
137,145,238,Merah
147,154,241,Merah
147,154,241,Merah
144,152,241,Merah
143,151,240,Merah
142,150,239,Merah
142,150,239,Merah
137,145,239,Merah
136,144,238,Merah
136,144,238,Merah
135,143,237,Merah
148,155,242,Merah
147,154,241,Merah
144,152,241,Merah
143,151,240,Merah
143,151,240,Merah
142,150,239,Merah
137,145,239,Merah
137,145,239,Merah
137,145,239,Merah
136,144,238,Merah
149,156,243,Merah
148,155,242,Merah
144,152,241,Merah
143,151,240,Merah
143,151,240,Merah
